Papers,Year,Author Countries,Author University or Industry
review_1,2022,"China, China, China, China, China, China, China, China","University, University, University, University, University, University, University, University"
review_2,2023,"China, China, China, China, China","University, University, University, University, University"
review_3,2022,"China, Great Britain","University, University"
review_4,2022,"China, Australia, China, China, China, China","University, University, University, University, University, University"
review_5,2023,"China, Great Britain, China, China","University, University, University, University"
review_6,2022,"India, India","University, University"
review_7,2023,"China, China, China, China, China, China","University, University, University, University, University, University"
review_8,2023,"Canada, Canada, Canada, China","University, University, University, Industry"
review_9,2023,"Canada, Canada, Canada","University, University, University"
review_10,2023,"Japan, Japan, Canada, Japan, Japan, Japan","University, University, Industry, University, University, University"
review_11,2023,"China, China, China, China, China","University, University, University, University, University"
review_12,2023,"China, China, China, China, China, Italy, Italy, Italy","University, University, University, University, University, University, University, University"
review_13,2023,"China, China, China, China, China, China, China, China","University, University, University, University, University, University, University, University"
review_14,2023,"Brazil, Great Britain, Brazil, Brazil, Great Britain","University, University, University, University, University"
review_15,2022,"India, India","University, University"
review_16,2022,"Italy, Italy, Italy, Italy, New Zealand","University, University, University, University, University"
review_17,2023,"China, China, China, China","University, University, University, University"
review_18,2022,"Jordan, Jordan, UAE, Greece","University, University, University, University"
review_19,2023,"China, Great Britain, China","University, University, University"
review_20,2023,"China, China, China, China","University, University, University, University"
review_21,2022,"Great Britain, Great Britain, Great Britain","University, University, University"
review_22,2023,"China, China, China, China, China","University, University, University, University, University"
review_23,2022,"Israel, Israel","University, University"
review_24,2020,"Australia, Australia, Australia, Australia","University, University, University, University"
review_25,2020,"Japan, Australia, Australia, Japan, Japan","University, University, University, University, University"
review_26,2022,"China, China, China, Australia, China, Singapore","University, University, University, University, Industry, University"
review_27,2022,"Italy, Italy, Italy","University, University, University"
review_28,2022,"China, China, China, China, China, China","University, University, University, University, University, University"
review_29,2022,"Japan, Japan, Japan","University, University, University"
review_30,2022,"China, China, China","University, University, University"
review_31,2022,"India, India, India","University, University, University"
review_32,2022,"India, India, India, India","University, University, University, University"
review_33,2021,"USA, USA, USA","University, University, University"
review_34,2022,"China, China, Singapore, China, China, China","University, University, University, University, University, University"
review_35,2021,"Italy, Italy","University, University"
review_36,2022,"Japan, Japan, Japan, New Zealand, China, Japan, Japan, Japan","University, University, University, University, University, University, University, University"
review_37,2021,"China, China, China, Singapore, China","University, University, University, University, University"
review_38,2022,"Japan, Japan, Japan, Japan","University, University, University, University"
review_39,2022,"Germany, Germany","University, University"
review_40,2022,"USA, USA, Saudi Arabia, USA","University, University, University, University"
review_41,2022,"Great Britain, Great Britain","University, University"
review_42,2022,"China, China, China","University, University, University"
review_43,2022,"Finland, Finland, Finland","University, University, University"
review_44,2022,"USA, USA","University, University"
review_45,2021,"China, China, China, China","University, University, University, University"
review_46,2020,"China, China, China, China, China, China","University, University, University, University, University, University"
review_47,2021,"Great Britain, China, Great Britain, China","University, University, University, University"
review_48,2021,"Italy, USA, Italy","University, University, University"
review_49,2021,Canada,University
review_50,2021,"China, China, China, China, China","University, University, University, University, University"
review_51,2021,"China, China, China, China","University, University, University, University"
review_52,2021,"Luxembourg, Japan, Canada, Korea","University, University, University, University"
review_53,2021,"Ethiopia, Ethiopia","University, University"
review_54,2021,"India, India","University, University"
review_55,2020,"India, India","University, University"
review_56,2021,"China, China, China, China, China","University, University, University, University, University"
review_57,2021,"India, India","University, University"
review_58,2021,"Japan, Japan, Japan","University, University, University"
review_59,2021,"China, China, China, Singapore, China","University, University, University, University, University"
review_60,2021,"Sweden, Sweden, Sweden, Sweden","University, University, University, University"
review_61,2021,"Canada, Canada, Canada, Japan, Canada","University, University, University, University, University"
review_62,2021,"Turkey, Turkey","University, University"
review_63,2021,"China, China, China, USA","University, University, University, University"
review_64,2021,"China, China, China, China","University, University, University, University"
review_65,2021,"USA, USA","University, University"
review_66,2021,"Canada, China, Korea, USA","University, University, University, Industry"
review_67,2018,"China, China, China","University, University, University"
review_68,2018,"Canada, Canada, Korea, Canada","University, University, University, University"
review_69,2019,"China, China, China, China","University, University, University, University"
review_70,2020,"Italy, USA, USA, USA, Finland","University, University, University, University, University"
review_71,2020,"Australia, Australia, Australia","University, University, University"
review_72,2020,Japan,University
review_73,2020,"USA, USA","University, University"
review_74,2019,"China, China, China, China, China","University, University, University, University, University"
review_75,2020,"Germany, Germany, Germany","University, University, University"
review_76,2020,"Iran, Iran, Iran, Iran, Iran","University, University, University, University, University"
review_77,2019,"Japan, Canada, Japan, Japan","University, University, University, University"
review_78,2020,"Canada, Canada, Canada, Canada","University, University, University, University"
review_79,2020,"Italy, Italy","University, University"
review_80,2019,"The Netherlands, The Netherlands, Switzerland","University, University, University"
review_81,2017,"China, China, China, Australia, China, China","University, University, University, University, University, University"
review_82,2018,"Australia, Canada, Canada, Japan","University, University, University, University"
review_83,2018,"USA, USA, USA, USA","University, University, University, University"
review_84,2019,"Brazil, Great Britain, Canada, Canada","University, University, University, University"
review_85,2018,"Japan, Japan","University, University"
review_86,2018,"India, India","University, University"
review_87,2019,"China, China, China, China, China, China","University, University, University, University, University, University"
review_88,2018,"China, China, China, USA","University, University, University, University"
review_89,2017,"The Netherlands, Italy, Italy, Italy, Italy","University, University, University, University, University"
review_90,2018,"China, China, Great Britain","University, University, University"
review_91,2020,"Croatia, Croatia, Croatia, Croatia","University, University, University, University"
review_92,2019,"China, China, China, China, China, China, China, China, China","University, University, University, University, University, University, University, University, University"
review_93,2019,"Australia, Australia, Australia, Australia, Australia, Australia, Korea, Korea","University, University, University, University, University, University, Industry, Industry"
review_94,2018,"China, Australia, Singapore","University, University, University"
review_95,2018,"China, China, Japan","University, University, University"
review_96,2019,"China, China, Australia, China, China","University, University, University, University, University"
review_97,2019,"Singapore, Australia, Japan, Singapore, Japan","University, University, University, University, University"
review_98,2019,"Japan, Canada, Japan, Canada, Japan","University, University, University, University, University"
review_99,2018,"Germany, Germany, Germany","University, University, University"
review_100,2018,"Canada, Japan","University, University"
review_101,2017,"Italy, The Netherlands, Italy, Switzerland, Italy, Italy","University, University, University, University, University, University"
review_102,2018,"USA, USA","University, University"
review_103,2018,"China, China, China, China","University, University, University, University"
review_104,2018,"The Netherlands, The Netherlands, Switzerland","University, University, University"
review_105,2018,"China, China, China, China, China, China, China","University, University, University, University, University, University, University"
review_106,2017,"China, China, China","University, University, University"
review_107,2017,"China, China, China, China","University, University, University, University"
review_108,2018,"Romania, Romania, Romania","University, University, University"
review_109,2017,"Canada, Canada, Canada, Canada, Canada","University, University, University, University, University"
review_110,2017,"China, Australia, Singapore","University, University, University"
review_111,2017,"China, Singapore, Australia, China","University, University, University, University"
