Papers,Quality Metric 1,Quality Metric 2,Quality Metric 3,Quality Metric 4,Quality Metric 5,Quality Metric 6,Quality Metric 7,Quality Metric 8,Quality Metric 9
review_1,1,1,0,1,0,1,1,1,1
review_2,1,1,0,1,1,1,1,1,1
review_3,1,1,1,1,1,1,1,1,1
review_4,1,1,0,1,1,1,0.5,0.5,1
review_5,1,1,0,1,1,1,1,1,0
review_6,1,0,0,1,0,1,0.5,0.5,1
review_7,1,0,0,1,0,1,0.5,0.5,1
review_8,1,1,1,1,1,1,1,1,0
review_9,1,1,1,1,1,1,1,1,1
review_10,1,0,1,1,1,1,0.5,0.5,0
review_11,1,0,0,1,0,1,0.5,0.5,1
review_12,1,0,1,1,1,1,1,1,1
review_13,1,0,1,1,1,1,0.5,0.5,1
review_14,1,1,1,1,1,1,1,1,1
review_15,1,1,0,1,0,1,0.5,0.5,1
review_16,1,1,1,1,1,1,1,1,1
review_17,1,0,0,1,1,1,0.5,0.5,1
review_18,1,1,1,1,1,1,1,1,1
review_19,1,1,0,1,1,1,1,1,1
review_20,1,1,0,1,1,1,0.5,0.5,1
review_21,1,1,0,1,0,1,1,1,1
review_22,1,0,0,1,0,1,0.5,0.5,0
review_23,1,0,0,1,1,1,1,1,0
review_24,1,0,1,1,1,1,1,1,1
review_25,1,0,0,1,1,1,1,1,1
review_26,1,1,1,1,1,1,1,1,1
review_27,0.5,0,1,1,0,1,0.5,0.5,0
review_28,1,1,1,1,1,1,1,1,1
review_29,1,0,1,1,1,1,1,1,1
review_30,1,0,1,1,1,1,1,0.5,1
review_31,1,0,1,1,1,1,0.5,0.5,1
review_32,1,1,1,1,0,1,0.5,0.5,1
review_33,1,1,1,1,1,1,1,1,0
review_34,1,0,0,1,0,1,0.5,0.5,1
review_35,1,0,1,1,1,1,0.5,0.5,0
review_36,1,1,0,1,0,1,0.5,0.5,1
review_37,1,0,1,1,0,1,0.5,0.5,1
review_38,1,0,0,1,1,1,1,1,1
review_39,1,1,1,1,1,1,0.5,0.5,1
review_40,1,1,1,1,1,1,0.5,0.5,1
review_41,1,1,0,1,1,1,0.5,0.5,1
review_42,1,1,0,1,1,1,0.5,0.5,0
review_43,1,0,1,1,1,1,1,1,1
review_44,1,0,0,1,1,1,0.5,0.5,1
review_45,1,1,1,1,1,1,0.5,1,1
review_46,1,1,0,1,1,1,0.5,0.5,1
review_47,1,1,0,0,0,1,0.5,0.5,0
review_48,1,1,1,1,1,1,1,1,1
review_49,1,0,0,1,1,0,0.5,1,1
review_50,1,0,1,1,0,1,0.5,0.5,1
review_51,1,0,0,1,0,1,0.5,0.5,1
review_52,1,0,1,1,1,1,1,1,1
review_53,1,0,1,1,1,1,1,1,1
review_54,1,0,0,1,1,1,0.5,1,1
review_55,1,0,0,1,1,1,0.5,0.5,1
review_56,1,0,1,1,1,1,0.5,0.5,1
review_57,1,0,0,1,1,1,0.5,0.5,1
review_58,1,0,1,1,1,1,1,0.5,1
review_59,1,1,1,1,0,1,0.5,0.5,1
review_60,1,1,1,1,1,1,0.5,0.5,1
review_61,1,1,1,1,1,1,1,1,1
review_62,1,0,1,1,1,1,1,1,1
review_63,1,1,1,1,1,1,1,1,1
review_64,1,0,0,1,0,1,0.5,0.5,1
review_65,1,1,1,1,1,1,0.5,1,1
review_66,1,0,1,1,1,1,1,1,1
review_67,1,0,1,1,1,1,0.5,0.5,1
review_68,1,0,1,1,1,1,0.5,1,1
review_69,1,1,1,1,1,1,1,0,1
review_70,1,1,1,1,1,1,0.5,0.5,1
review_71,1,1,1,1,1,1,0.5,1,1
review_72,1,0,0,0,1,1,0.5,1,0
review_73,1,0,1,1,1,1,1,1,1
review_74,1,0,0,1,0,1,0.5,0,1
review_75,1,1,1,1,1,1,1,1,1
review_76,1,1,1,1,1,1,0.5,1,1
review_77,1,0,1,1,1,1,1,1,1
review_78,1,1,0,1,1,1,1,1,1
review_79,1,1,1,1,1,1,0.5,1,0
review_80,1,1,1,1,1,1,0.5,1,1
review_81,1,0,0,1,0,1,0.5,0.5,1
review_82,1,0,1,1,1,1,0.5,0.5,0
review_83,1,0,1,1,1,1,1,1,1
review_84,1,1,0,1,1,1,1,1,1
review_85,1,0,1,1,0,1,0.5,0.5,1
review_86,1,1,0,1,1,1,0.5,0.5,1
review_87,1,0,1,1,1,1,0.5,0.5,1
review_88,1,0,1,1,1,1,1,1,1
review_89,1,1,1,1,1,1,0.5,1,1
review_90,1,1,1,0,1,1,0.5,0.5,1
review_91,1,0,1,1,0,1,1,1,1
review_92,1,1,0,1,0,1,0.5,1,1
review_93,1,0,1,1,1,1,1,1,1
review_94,1,1,1,1,1,1,0.5,1,1
review_95,1,0,1,1,1,1,1,1,1
review_96,1,0,0,1,1,1,1,1,1
review_97,1,1,1,1,1,1,0.5,1,1
review_98,1,1,1,1,1,0,0.5,0.5,1
review_99,1,1,0,1,1,1,1,1,1
review_100,1,1,1,1,1,1,1,1,1
review_101,1,0,1,1,1,1,1,1,1
review_102,1,1,1,1,1,1,1,1,1
review_103,1,1,0,1,0,1,0.5,0.5,1
review_104,1,1,1,1,1,1,1,1,1
review_105,1,1,0,1,1,1,0.5,0,1
review_106,1,0,1,1,1,1,0.5,1,1
review_107,1,0,1,1,1,1,1,1,1
review_108,1,0,1,1,1,1,0.5,1,1
review_109,1,0,1,1,1,1,0.5,1,1
review_110,1,1,1,1,1,1,0.5,0.5,1
review_111,1,0,1,1,1,1,0.5,0.5,1
review_112,1,1,0,1,1,1,0.5,0.5,1
review_113,1,1,1,1,1,1,0.5,1,1
review_114,1,0,1,1,1,1,1,1,1
review_115,1,0,1,1,1,1,0.5,1,1
review_116,1,0,1,1,1,1,1,1,1
review_117,1,0,0,0,0,1,0.5,0,0
review_118,1,0,1,1,1,1,1,1,1
review_119,1,0,1,1,1,1,0.5,0,1
review_120,1,0,1,1,1,1,1,1,1
review_121,0,0,0,0,0,1,0.5,0,0
review_122,1,0,0,1,1,1,0.5,0.5,1
review_123,1,0,1,1,1,1,1,1,1
review_124,1,1,1,1,1,1,0.5,0.5,1
review_125,1,0,1,1,1,1,0.5,1,1
review_126,1,0,1,1,1,1,0.5,1,1
review_127,1,1,1,1,1,1,1,1,1
review_128,1,0,1,1,1,1,0.5,0.5,1
review_129,1,0,1,1,1,1,0.5,1,0
review_130,1,0,1,1,1,1,1,1,0
review_131,1,0,1,1,1,1,1,1,1
review_132,1,1,1,1,1,1,0.5,0.5,1
