Papers,Output,Prediction Granularity,Classifier Category,Severity/Impact Output,Explainability,Explainability/Information Type
review_1,Binary,Commit/Change & File & Package,Regression Models & Bayesian Learners & Decision Tree Ensemble Learners & Neural Networks & Support Vector Machines & Decision Trees,No,Yes,No
review_2,Binary & Multi-Label,Commit/Change & Function,Neural Networks,No,No,No
review_3,Binary,Commit/Change,Decision Tree Ensemble Learners,No,No,No
review_4,Binary,Class & File & Function & Package,Discrimination Analysis,Severity Dataset,No,No
review_5,Binary & Effort/Ranking,Commit/Change,Decision Trees,No,Yes,Transparent Model Usage
review_6,Binary,Unknown,Decision Tree Ensemble Learners,Severity Dataset,No,No
review_7,Binary,Class,Regression Models,Severity Dataset,Yes,Transparent Model Usage
review_8,Binary & Effort/Ranking,Clone,"Learning-To-Rank Learners & Decision Tree Ensemble Learners & Regression Models, Bayesian Learners & Bagging and Boosting Learners",No,No,No
review_9,Severity,Method,Clustering-Based Learner & Support Vector Machines & Bayesian Learners & Decision Trees & Neural Networks & Bagging and Boosting Learners,Yes,No,No
review_10,Binary & Effort/Ranking,File,Regression Models & Decision Tree Ensemble Learners & Clustering-Based Learner & Simple Unsupervised Models,Severity Dataset,Yes,"Global Interpretive
Feature Importance
Techniques "
review_11,Binary,Entity,Decision Trees & Bayesian Learners & Rule-based Learners,No,Yes,Rule Interpretation
review_12,Binary,File,Support Vector Machines & Decision Trees & Clustering-Based Learner & Decision Tree Ensemble Learners & Regression Models,No,No,No
review_13,Binary & Number of Defects & Effort/Ranking,Module,Bayesian Learners & Regression Models & Learning-To-Rank Learners & Support Vector Machines & Rule-Based Learners & Neural Networks & Decision Trees & Genetic Algorithms & Clustering-Based Learner,Severity Dataset,No,No
review_14,Binary,Commit/Change,Regression Models & Neural Networks & Bayesian Learners & Decision Tree Ensemble Learners,No,No,No
review_15,Binary,Module,Regression Models & Clustering-Based Learner & Support Vector Machines & Bayesian Learners & Neural Networks & Decision Trees,Severity Dataset,No,No
review_16,Binary & Effort/Ranking,Class & Method,Decision Tree Ensemble Learners & Regression Models & Bayesian Learners & Neural Networks & Other Ensemble Learner & Clustering-Based Learner,No,No,No
review_17,Binary,Clone Change,Neural Networks,No,No,No
review_18,Binary,Class & File & Function,Support Vector Machines,Severity Dataset,No,No
review_19,Binary,Commit/Change,Decision Tree Ensemble Learners,No,No,No
review_20,Binary,Clone Change,Regression Models,No,Yes,Transparent Model Usage
review_21,Binary,Module,Bayesian Learners & Clustering-Based Learner & Support Vector Machines & Decision Trees,No,No,No
review_22,Binary,Module,Neural Networks,No,No,No
review_23,Binary,File,Decision Tree Ensemble Learners,No,No,No
review_24,Probability Mapping to Binary & Effort/Ranking,File,Regression Models & Decision Tree Ensemble Learners & Neural Networks & Bagging and Boosting Learners,No,Yes,LIME and LIME-HPO
review_25,Probability Mapping to Binary & Effort/Ranking,File & Line,Decision Tree Ensemble Learners & Regression Models & Support Vector Machines & Clustering-Based Learner & Neural Networks,No,No,No
review_26,Probability Mapping to Binary & Defect Density & Effort/Ranking,Commit/Change,Neural Networks,No,No,No
review_27,Probability Mapping to Binary & Effort/Ranking,Unknown,Rule-Based Learners & Clustering-Based Learner & Decision Trees & Bayesian Learners & Support Vector Machines & Decision Tree Ensemble Learners & Regression Models & Bayesian Learners & Bagging and Boosting Learners,No,No,No
review_28,Binary & Effort/Ranking,Commit/Change,Decision Tree Ensemble Learners,No,No,No
review_29,Binary & Effort/Ranking,File,Neural Networks,No,No,No
review_30,Binary,File,Decision Tree Ensemble Learners,No,No,No
review_31,Binary,Class & File & Function,Clustering-Based Learner,Severity Dataset,Yes,Transparent Model Usage
review_32,Binary,Instance,Clustering-Based Learner & Decision Trees & Bayesian Learners & Decision Tree Ensemble Learners & Regression Models,Severity Dataset,No,No
review_33,Binary,Commit/Change & File & Package,Support Vector Machines & Bayesian Learners & Regression Models & Decision Tree Ensemble Learners,No,No,No
review_34,Number of Defects,Module,Regression Models & Support Vector Machines & Clustering-Based Learner & Genetic Algorithms & Bayesian Learners & Decision Trees & Neural Networks,No,No,No
review_35,Number of Defects,Class,Decision Tree Ensemble Learners,No,No,No
review_36,Binary,Module,Regression Models,No,Yes,Transparent Model Usage
review_37,Binary,Instance,Clustering-Based Learner & Decision Trees & Bayesian Learners & Decision Tree Ensemble Learners & Regression Models,No,No,No
review_38,Binary,Commit/Change,Regression Models,No,Yes,Transparent Model Usage
