Papers,Evaluated by Developers,Statistical Evaluation Measure,Explainability Measure,Measure Type
review_1,No,Recall & Pf & Inspect & MCC,No,None
review_2,No,F1-score & AUC & Precision & Recall & Accuracy,No,None
review_3,No,G-mean,No,None
review_4,No,MCC & AUC & Pf,No,None
review_5,No,G-Mean & MCC & Human Recall & Human False Alarm,No,None
review_6,No,AUC & Precision & Recall & F1-score & False Alarm Rate,No,None
review_7,No,F1-Score & Balanced Accuracy & G-Mean,No,None
review_8,No,"Precision & MAP & NDCG & Recall & Accuracy & AUC & F1-Score
& R-squared & Train RMSE & Test RMSE & Train MAE & Test MAE",No,None
review_9,No,Precision & Recall & AUC & F1-Score & ROC Curve Plot & Precision-Recall Curve Plot,No,None
review_10,No,Precision & Recall & F1-Score & AUC & Cost-Effort,No,None
review_11,No,F1 & MCC,Yes,Interpretability
review_12,No,AUC & F1-Score & Balance & Recall & Pf,NULL,None
review_13,No,Precision & Recall & IFA & PMI & PLI & PofB & PofB/PMI & PofB/PLI & Popt,NULL,None
review_14,No,G-Mean,NULL,None
review_15,No,"Percent of Perfect Cleans & Percent of Non-Perfect Cleans & False Omission Rate &
AUC & F1-Score",NULL,None
review_16,No,AUC & PofBX,NULL,None
review_17,No,Precision & Recall & F-Score,NULL,None
review_18,No,MCC & Recall & Precision & AUC,NULL,None
review_19,No,G-Mean,NULL,None
review_20,No,Accuracy & Sensitivity & Specificity & Precision & Recall & F-Score & G-Mean & MCC & AUC,NULL,None
review_21,No,Accuracy,NULL,None
review_22,No,Accuracy & Precision & Recall & F1-Score,NULL,None
review_23,No,Precision & Recall & AUC,NULL,None
review_24,Yes,AUC & IFA & Popt,Yes,Explainability
review_25,No,"Recall & False Alarm Rate & Initial False
Alarm & Top K%LOC Recall",NULL,None
review_26,No,"F1-score & AUC & Recall & Effort & Popt & Top-N &
& IFAline",NULL,None
review_27,No,Accuracy & PofB & NPofB,NULL,None
review_28,No,AUC & Precision & Recall & F1-Score & PofB & Popt,NULL,None
review_29,No,F1-Score & Popt,NULL,None
review_30,No,Precision & Recall & F1-Score,NULL,None
review_31,No,Accuracy & F1-Score & MCC,NULL,None
review_32,No,Precision & Recall & F1-Score & AUC,NULL,None
review_33,No,Recall & Precision & Pf & Popt & Ifa & AUC,NULL,None
review_34,No,AAE & Pred,NULL,None
review_35,No,MAE,NULL,None
review_36,No,AUC & ImpR,NULL,None
review_37,No,AUC & Balance & Pd & Pf,NULL,None
review_38,No,AUC & Precision & Recall & F1-Score & MCC & Brier Score,NULL,None
